#,"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious, Critical",Total Cases per 1M pop,Deaths per 1M pop,Total Tests,Tests per 1M pop,Population
81,Bahrain,"96,195",,356,,"92,920","2,919",20,"55,523",205,"24,866,420","14,352,829","1,732,510"
186,Faeroe Islands,647,1,1,,619,27,1,"13,214",20,"212,418","4,338,426","48,962"
159,Gibraltar,"3,431",107,20,3,"2,259","1,152",110,"101,852",594,"137,377","4,078,163","33,686"
96,Luxembourg,"48,181",,538,,"44,848","2,795",24,"76,311",852,"1,758,293","2,784,841","631,380"
185,Bermuda,661,5,12,,558,91,7,"10,635",193,"151,795","2,442,240","62,154"
135,Andorra,"8,818",136,87,1,"8,070",661,15,"114,029","1,125","180,088","2,328,794","77,331"
44,UAE,"239,587","3,362",723,6,"213,149","25,715",,"24,069",73,"22,830,171","2,293,572","9,953,981"
53,Denmark,"185,159","1,358","1,660",37,"161,194","22,305",137,"31,907",286,"11,556,903","1,991,499","5,803,118"
208,Falkland Islands,32,3,,,27,5,,"9,057",,"5,961","1,687,235","3,533"
161,Channel Islands,"3,310",,75,,"2,948",287,10,"18,945",429,"287,870","1,647,636","174,717"
149,Iceland,"5,935",23,29,,"5,742",164,,"17,332",85,"456,261","1,332,437","342,426"
176,Monaco,"1,092",,7,,900,185,9,"27,722",178,"51,953","1,318,905","39,391"
118,Malta,"14,958",189,234,,"12,123","2,601",18,"33,828",529,"553,672","1,252,161","442,173"
28,Israel,"513,715","3,652","3,772",2,"432,765","77,178","1,105","55,853",410,"9,174,670","997,508","9,197,590"
88,Singapore,"58,984",38,29,,"58,722",233,1,"10,040",5,"5,837,181","993,581","5,874,894"
193,Cayman Islands,362,,2,,316,44,1,"5,474",30,"62,435","944,082","66,133"
5,UK,"3,211,576","47,525","84,767","1,564","1,406,967","1,719,842","3,496","47,176","1,245","61,779,630","907,501","68,076,632"
163,San Marino,"2,723",17,65,,"2,373",285,10,"80,161","1,914","29,508","868,674","33,969"
196,St. Barth,206,,1,,172,33,,"20,823",101,"8,518","861,013","9,893"
1,USA,"23,427,379","57,647","391,039","1,418","13,827,857","9,208,483","29,220","70,556","1,178","275,925,873","831,002","332,039,770"
134,Hong Kong,"9,386",42,161,1,"8,584",641,41,"1,247",21,"5,845,073","776,297","7,529,431"
103,Cyprus,"27,897",,157,,"2,057","25,683",58,"23,016",130,"871,140","718,732","1,212,051"
147,Aruba,"6,154",,52,,"5,511",591,4,"57,510",486,"73,633","688,107","107,008"
59,Lithuania,"163,042","1,694","2,314",34,"97,336","63,392",156,"60,347",856,"1,764,946","653,262","2,701,745"
4,Russia,"3,471,053","22,850","63,370",566,"2,854,088","553,595","2,300","23,780",434,"94,631,354","648,302","145,968,016"
120,Maldives,"14,277",59,49,,"13,438",790,54,"26,168",90,"351,491","644,241","545,589"
24,Belgium,"667,322","2,099","20,194",72,"46,417","600,711",356,"57,446","1,738","7,363,913","633,913","11,616,601"
9,Spain,"2,176,089","38,869","52,878",195,N/A,N/A,"2,744","46,533","1,131","28,775,103","615,320","46,764,489"
31,Portugal,"507,108","10,556","8,236",156,"382,544","116,328",596,"49,811",809,"6,131,619","602,277","10,180,734"
6,France,"2,830,442","23,852","69,031",229,"205,672","2,555,739","2,711","43,311","1,056","38,490,013","588,975","65,350,871"
166,Liechtenstein,"2,370",15,49,,"2,211",110,13,"62,063","1,283","22,308","584,178","38,187"
212,Saint Pierre Miquelon,16,,,,16,0,,"2,769",,"3,344","578,647","5,779"
89,Norway,"56,927",312,482,,"46,611","9,834",34,"10,457",89,"3,064,639","562,953","5,443,862"
60,Ireland,"159,144","3,553","2,460",63,"23,364","133,320",172,"32,039",495,"2,663,724","536,268","4,967,151"
93,Latvia,"52,032","1,255",909,27,"36,260","14,863",73,"27,751",485,"994,203","530,259","1,874,938"
99,Estonia,"34,991",855,301,9,"24,360","10,330",44,"26,368",227,"690,967","520,693","1,327,013"
43,Georgia,"243,255","1,618","2,846",26,"227,611","12,798",,"61,042",714,"2,013,142","505,173","3,985,055"
21,Czechia,"855,600","10,725","13,656",79,"692,547","149,397","1,104","79,816","1,274","5,260,650","490,749","10,719,624"
102,Australia,"28,647",14,909,,"25,860","1,878",1,"1,117",35,"12,199,634","475,483","25,657,353"
97,Finland,"39,335",324,602,,"31,000","7,733",30,"7,093",109,"2,597,994","468,501","5,545,332"
8,Italy,"2,319,036","15,774","80,326",507,"1,673,936","564,774","2,579","38,386","1,330","28,300,119","468,436","60,414,097"
29,Sweden,"512,203",,"9,834",30,N/A,N/A,345,"50,548",971,"4,717,676","465,580","10,132,905"
66,Qatar,"146,480",201,246,,"143,094","3,140",28,"52,169",88,"1,301,053","463,370","2,807,805"
33,Switzerland,"490,358","3,001","8,516",46,"317,600","164,242",356,"56,438",980,"3,929,129","452,227","8,688,408"
182,Bhutan,833,2,1,,504,328,,"1,073",1,"342,472","441,255","776,132"
49,Belarus,"217,696","1,972","1,544",9,"200,132","16,020",,"23,042",163,"4,166,539","441,013","9,447,656"
35,Austria,"385,750","1,917","6,868",49,"359,692","19,190",354,"42,700",760,"3,955,650","437,869","9,033,859"
200,British Virgin Islands,114,,1,,95,18,,"3,758",33,"13,223","435,856","30,338"
213,Anguilla,15,,,,13,2,,995,,"6,449","427,823","15,074"
10,Germany,"1,966,500","8,933","43,782",579,"1,596,600","326,118","5,230","23,431",522,"35,118,592","418,440","83,927,340"
23,Canada,"679,505","5,032","17,340",107,"582,085","80,080",843,"17,920",457,"14,714,036","388,042","37,918,624"
119,French Guiana,"14,370",,74,,"9,995","4,301",4,"47,463",244,"112,996","373,221","302,759"
19,Netherlands,"889,221","6,086","12,685",122,N/A,N/A,700,"51,834",739,"6,352,647","370,305","17,155,178"
25,Chile,"652,525","3,390","17,204",22,"611,564","23,757",981,"33,979",896,"7,022,544","365,687","19,203,719"
65,Greece,"146,688",668,"5,354",25,"9,989","131,345",340,"14,110",515,"3,689,863","354,943","10,395,664"
69,Slovenia,"143,679","2,092","3,070",17,"116,745","23,864",205,"69,107","1,477","729,800","351,019","2,079,091"
39,Jordan,"310,968","1,122","4,091",15,"293,531","13,346",168,"30,317",399,"3,490,118","340,263","10,257,107"
41,Panama,"285,093",,"4,561",,"223,635","56,897",223,"65,526","1,048","1,460,912","335,779","4,350,810"
45,Lebanon,"231,936","4,988","1,740",35,"145,873","84,323",627,"34,063",256,"2,283,225","335,324","6,809,006"
37,Saudi Arabia,"364,271",175,"6,304",4,"356,013","1,954",307,"10,378",180,"11,486,075","327,224","35,101,614"
91,Montenegro,"53,840",502,737,7,"43,475","9,628",68,"85,718","1,173","201,840","321,345","628,109"
